Country,Laspeyres,Laspeyres_Category,Paasche,Paasche_Category,Fischer,Fischer_Category,mean_2019_prob_diag_untreated,label
ALGERIA,0.896933303436458,Middle,0.3766906359664873,Middle,0.5812627430783791,High,0.0846889417891762,low
ARGENTINA,1.4994186001243095,High,0.631770130224058,High,0.9732871540613848,High,0.194279543558022,high
AUSTRALIA,0.7353884047418298,Middle,0.2058141276679029,Low,0.3890415440785603,Low,0.111096672987327,high
BANGLADESH,0.2658189054138491,Low,0.141007257708659,Low,0.1936037058000809,Low,0.0798281685946021,low
BELARUS,0.2923919221732703,Low,0.1896250661481953,Low,0.2354672749731995,Low,0.176680329448595,high
BELGIUM,0.8335072851758804,Middle,0.2252300250184483,Middle,0.4332792017778173,Middle,0.134192403687785,high
BRAZIL,1.1060077377341997,High,0.5719494095862342,High,0.7953492771071601,High,0.0682904197772544,low
CANADA,1.0819324572567437,High,0.6376969540976323,High,0.8306292991051978,High,0.203075987289913,high
CHILE,1.9491603312897827,High,0.6849900986144362,High,1.1554893022202912,High,0.143868025125258,high
CHINA,0.94920788235331,Middle,0.3867776447563727,High,0.6059145064452554,High,0.0765508093648789,low
ECUADOR,1.3083538567296296,High,0.8313016652247869,High,1.0428982403871498,High,0.119132659246707,high
EGYPT,0.3541338082706032,Low,0.1304219650460615,Low,0.2149112076274694,Low,0.0648221050293876,low
FRANCE,0.7276605103429737,Middle,0.2226145970891713,Middle,0.4024771438575139,Middle,0.133586411472003,high
GERMANY,0.571974663791696,Low,0.2557795865735771,Middle,0.3824911019033001,Low,0.118975989210886,high
INDIA,0.2576525781653747,Low,0.0661301456313316,Low,0.1305319980555123,Low,0.0782884256510359,low
INDONESIA,1.084986786376683,High,0.547083526903052,High,0.7704403920707714,High,0.112389579109099,high
IRELAND,0.897149162746849,Middle,0.3496112893773105,Middle,0.5600477439930461,Middle,0.0631710344952678,low
ITALY,0.8978003291503343,Middle,0.2598171130611698,Middle,0.4829740051236793,Middle,0.148100837115197,high
JAPAN,1.3767807519871775,High,0.1345280259822599,Low,0.4303668165358551,Middle,0.189107623570427,high
JORDAN,1.0756197938072969,High,0.3133215028005812,Middle,0.5805297668834507,Middle,0.0922395925815257,low
KUWAIT,1.8622194432343933,High,0.7788068726873242,High,1.204287881215662,High,0.065257570192616,low
LEBANON,1.1628987800971455,High,0.3823516716035678,High,0.666810537166213,High,0.0707580087116498,low
LITHUANIA,0.685711396558745,Middle,0.0852695922167717,Low,0.2418063918984716,Low,0.202383040208966,high
MEXICO,2.410373489461953,High,0.8782692638954437,High,1.4549766150364212,High,0.0516937228691884,low
MOROCCO,1.0572211186660203,High,0.5359425649204543,High,0.7527348789752863,High,0.113842618067638,high
NEW ZEALAND,0.7415219985325346,Middle,0.2721111237881807,Middle,0.4491952630364056,Middle,0.231661638622341,high
PAKISTAN,0.2785727305144007,Low,0.1102393217517184,Low,0.175241744086367,Low,0.0845893378885529,low
PERU,2.276831064668296,High,0.436282511438275,High,0.9966652271521091,High,0.0823581264449258,low
PHILIPPINES,2.3444922069033,High,0.661223735627569,High,1.2450838908275712,High,0.0970079362690974,low
POLAND,0.5663480812270357,Low,0.1605158623579068,Low,0.30150928783854,Low,0.145581070891483,high
RUSSIA,0.3384828440458437,Low,0.1684755878873747,Low,0.2388013738243859,Low,0.162598411348117,high
SERBIA,0.3900532071872976,Low,0.1348004956446925,Low,0.2293019094047183,Low,0.165938263229001,high
SOUTH AFRICA,1.12030149452772,High,0.3634968457556583,Middle,0.6381426639523299,High,0.0738206207580702,low
SPAIN,0.7099087927369918,Middle,0.3833833844814918,High,0.5216964976235491,Middle,0.218265332338076,high
SRI LANKA,0.4454693842390682,Low,0.2176407146698624,Low,0.31137160299124,Low,0.102688859536265,high
TURKEY,0.3324924510025547,Low,0.0908956907673468,Low,0.1738451351312582,Low,0.0793017598431683,low
UAE,1.7805806571478613,High,0.7953657132127897,High,1.190047395823085,High,0.0628623376210377,low
UK,0.6767397482205475,Middle,0.3523716152956254,Middle,0.4883276340892753,Middle,0.109807171517518,high
URUGUAY,0.870486189278119,Middle,0.3790559414085117,High,0.5744240262732099,Middle,0.115508009826795,high
US,1.0,Middle,1.0,High,1.0,High,0.0828365672799104,low
VIETNAM,0.6902478937888211,Middle,0.2100766000762784,Low,0.3807951296129819,Low,0.149261750395082,high
